屌丝	Loser
口腔预防科	Preventive Dentistry
口腔颌面外科	Oral and Maxillofacial Surgery
口腔黏膜	Oral mucosa
口若悬河	Talk rapidly
口蘑大虾	Fried prawns with mushroom
口蘑煎蛋卷	Mushroom Omelets
口蘑菜胆	Sauteed Green Vegetable and Mushrooms
口蜜腹剑	Play a double game
口血未干	Breaking an oath almost before it is made
口袋台球	Pocket Pool
口袋地球仪DS	Pocket Chikyuugi DS
口袋妖怪	Pokemon
口袋妖怪不可思议的迷宫青之救援队	Pokemon Mysterious Dungeon: Blue Rescue Force
口袋妖怪不可思议迷宫	Pokemon Fushigi no Dungeon: Sora no Tankentai
口袋妖怪不可思议迷宫 光之探险队	Pokemon Fushigi no Dungeon: Higari no Tankentai
口袋妖怪不可思议迷宫 岚之探险队	Pokemon Fushigi no Dungeon: Arashi no Tankentai
口袋妖怪不可思议迷宫 时之探险队	Pokemon Fushigi no Dungeon: Toki no Tankentai
口袋妖怪不可思议迷宫 暗之探险队	Pokemon Fushigi no Dungeon: Yami no Tankentai
口袋妖怪不可思议迷宫 炎之探险队	Pokemon Fushigi no Dungeon: En no Tankentai Wii Nintendo
口袋妖怪乐园皮卡丘大冒险	Poke Park Wii Pikachu' Big Adventure
口袋妖怪乱战	Ransen Pokemon Sukuranburu Pokemon
口袋妖怪佐罗亚&佐罗亚库	Pokemon Zoroa&Zoroark
口袋妖怪冲刺	Pokemon Dash
口袋妖怪守护者	Pokemon Ranger Batonnage
口袋妖怪弹珠台红宝石和蓝宝石	Pokemon Pinball: Ruby & Sapphire
口袋妖怪战斗革命	Pokemon Battle Revolution
口袋妖怪方块	Pokemon Trozei
口袋妖怪珍珠	Pokemon Pearl
口袋妖怪白	Pokemon White
口袋妖怪白金	Pokemon Platinum
口袋妖怪红宝石	Pokemon Ruby
口袋妖怪绿宝石	Pokemon Emerald
口袋妖怪蓝宝石	Pokemon Sapphire
口袋妖怪金心	Pokemon Heart Gold
口袋妖怪钻石	Pokemon Diamond
口袋妖怪银灵	Pokemon Soul Silver
口袋宠物	Pocket Creatures
口袋泡泡龙	Puzzle Bobble Pocket
口袋精品店	Fancy Pocket
口袋精灵2	Pokemon2
口袋豆腐	Braised Tofu Stuffed with Vegetables
口袋赛车	Pocket Racers
口角春风	Speak in praise of
口角生风	Speech fluency
口讲指画	The mouth speaking and fingers sketching -- explain by means of illustration or gesticulation
口诛笔伐	Condemn both in speech and in writing
口说无凭	Words alone are no proof
口诵心惟	While pondering its meaning
口诵心维	While pondering its meaning
口齿伶俐	Have a ready tongue
口齿生香	Pregnant with meaning
古东瀑布	Ancient East Falls
古为今用	Adapt ancient forms for the ancient serve the present
古井不波	A dried-up well does not have ripples
古井无波	Impervious to desires and passions
古井贡酒	Gujing Gong wine
古人在这信上得了美好的证据	Ancient people achieved great evidences from the letter
古人类化石	Paleoanthropology Fossil
古今中外	At all times and in all countries
古代器具	Ancient utensils
古代家具	Furniture of Antiquity
古代服饰	The ancient costume
古代桌子	Ancient table
古代牧羊犬	Old Sheepdog
古代王者恐龙王七个碎片	Kodai Ouja -Kyouryuu King - 7-tsu no Kakera
古代铜钱	Ancient coins
古元版画	Gu Yuan prints
古典主义	Classicism
古典书桌	Classical desk
古典城堡	Ancient castle
古典婚礼	Wedding Classics
古典美人	Classical beauty
古典鸡尾酒	Old Fashioned
古剑奇谭	GuJianQiTan
古卡詹垂斯的神秘	Gooka: The Mystery of Janatris
古圣先贤	Ancient sages
古墓丽影10周年纪念版	Tomb Raider: Anniversary
古墓丽影2	Tomb Raider 2
古墓丽影3	Tomb Raider 3
古墓丽影9	Tomb Raider 9
古墓丽影	Tomb Raider
古墓丽影传奇	Tomb Raider: Legend
古墓丽影传说	Tomb Raider: Legend
古墓丽影历代记	Tomb Raider: Chronicles
古墓丽影周年纪念	Tomb Raider: Anniversary
古墓丽影地下世界	Tomb Raider: Underworld
古墓丽影最后的启示	Tomb Raider: The Last Revelation
古墓丽影预言	Tomb Raider: The Prophecy
古墓丽影黑暗天使	Tomb Raider: The Angel of Darkness
古小说钩沉	Ancient Stories Salvaged
古尔邦节	Corban
古巴雪茄	Cuban cigar
古巴首都	Capital of Cuba
古建筑群	Ancient architectural building complex
古往今来	From ancient to modern times
古思特汽车	The ancient site of automobile
古怪赛车冲撞	Wacky Races: Crash & Dash
古惑狼Advance	Crash Bandicoot Advance 2: Gurugurusaimin Dai Panic
古惑狼卡丁车3D	Crash Bandicoot Nitro Kart 3D
古惑狼友情大作战	Crash Bandicoot Advance: Wakuwaku Tomodachi Daisakusen
古惑狼无尽的冒险	Crash Bandicoot: The Huge Adventure
古惑狼泰坦	Crash of the Titans
古惑狼狂欢节	Crash Bandicoot: Crash Boom Bang
古惑狼盛会	Crash Boom Bang
古惑狼赛车	Crash Bandicoot Bakusou! Nitro Kart
古惑狼邪恶意志	Crash Bandicoot: Mind Over Mutant
古惑狼里普特的愤怒	Crash Bandicoot Purple: Ripto's Rampage
古手川唯	Gucci Chuan Wei
古拜经台	Read the scriptures
古旧图书	Ancient Book
古旧纸张	Antique paper
古木参天	Ancient trees tower to the skies
古根海姆	Guggenheim
古生物学家	Paleontologist
古稀之年	Seventy years of age
古筝独奏	Guzheng solo
古罗马建筑	The buildings of ancient Rome
古罗马斗兽场	The ancient Colosseum
古老的城堡	The old castle
古脊椎动物化石	Vertebrate Paleontology Fossil
古船木马赛克	Ancient boat Trojan mosaic
古色古香	Having an antique flavour
古董车展	Antique show
古貌古心	With the appearance and the thoughts all having the airs of ancients
古越龙山	Guyue Longshan
古钟二锅头	Guzhong Erguotou
古镇灯饰	Guzhen Lighting
古镇西塘	The ancient town of Xitang
另一个我	Alter Ego
另开生面	Open up a fresh outlook
另当别论	Should be regarded as a different matter
另有洞天	An altogether different world
另眼相待	Give a special treatment
另眼相看	With special respect
另眼看待	Look upon one with special respect
另类婚纱	Weird wedding dress
另请高明	Find some better person than myself
另谋高就	Find another job
另起炉灶	Set up a separate kitchen
另辟蹊径	To open or find a new path or snap course
叨陪末座	Get an invitation
叩石垦壤	Drill rock and dig earth
只不过是一场生活	It is nothing but a life
只争旦夕	Seize every minute
只准粤通卡通行	Autopass Vehicles Only
只字不提	Not to breathe a word about a single word
只属于我的果实	Bokudake no Kajitsu
只愿世间风景千般万般熙攘过后字里行间人我两忘相对无言	I wish after seeing all the bustling scenes in the world, when reading between the lines, I can forget others and myself, and enjoy the silent moment
只是我没准备好爱自己	But just because I wasn't ready to love myself
只有ta觉得好笑	Only he feels funny
只有一个人爱你那朝圣者的灵魂	But only one man loved the pilgrim soul in you
只有不断地改革党和国家才会充满生机和活力	It is only with constant reform that our Party and country can enjoy full vigor and vitality
只有整体素质优秀的学生才能被提名参加北京大学的自主招生考试	Only the overall-excellent student will be nominated to attend the independent recruitment of students test of Peking University
只有浅薄的人才了解自己	Only the shallow know themselves
只有爱才能让灵魂完整	Only one thing can make a soul full, and that thing is love
只要信任你自己旁人才不出卖你	Trust thyself only, and another shall not betray thee
只要肯等待一切都会按时来	All things will come round to him who will but wait
只言片语	Aword or two
只读存储器	Read-only memory
只身一人	Alone
只鸡斗酒	Mourn over a friend's death
只鸡樽酒	Mourn over a friend's death
只鸡絮酒	Mourn over a friend's death
召之即来挥之即去	Be at sb.'s beck and call
召唤之夜2	Summon Night 2
召唤之夜3	Summon Night 3
召唤之夜4	Summon Night 4
召唤之夜	Summon Night
召唤之夜X泪之皇冠	Summon Night X: Tears Crown
召唤之夜孪生时代	Summon Night Twin Age: Seireitachi no Kyoumei
召唤之夜铸剑物语2	Summon Night: Craft Sword Monogatari 2
召唤之夜铸剑物语	Summon Night: Craft Sword Monogatari
召唤之夜黎明之翼	Summon Night EX Thesis Yoaku no Tsubasa
召唤少女	Elemental Girl calling
召开座谈会	Convene a forum
可乐凤中翼	Pan-Fried Chicken Wings in Coca-Cola Sauce
可乐芸豆	Kidney Beans in Coca-Cola
可乐鸡翅	Cola Chicken Wings
可乐鸡饭	Rice with Stewed Chicken in Coke Sauce
可乘之隙	Openings to exploit
可以加床被子吗	Can I have one extra blanket
可以吗	OK?
可以帮我打马吗	Can you cover me with mosaics
可以帮我打马赛克吗	Mosaic me, please
可以把行李寄存在这里吗	Can I store my luggage here
可以攻玉	May be used to polish gems
可以玩一生	Isshou Asoberu Todai Shougi: Sakidzume Shogi Dojo
可以用这张信用卡付账吗	Can I pay with this credit card
可以的啊你也可以是我的朋友	Sure! You can be my friend as well
可以避免	Avoidable
可伶可俐	CleanClear
可供使用	Available
可入肺颗粒物PM25	Particulate matter smaller than 2.5 micrometers
可再生在某梦幻年代	I could be reborn in some magical age
可可甜酒	Creme de Cacao
可否让我看看酒单	May I see the wine list
可回收物	Recyclable
可堆肥垃圾	Compostable
可塑炸药	Plastic explosive
可心如意	Satisfactory
可持续发展战略	Strategy of sustainable development
可操左券	Certain of success
可有可无	Not essential
可歌可泣	Capable of evoking praises and tears
可汗不朽的君王	Kohan: Immortal Sovereigns
可燃垃圾	Combustible
可爱乡村非主流	Cute, rural and non-mainstream
可爱又迷人的反派角色	Cute and charming villain
可爱宠物游戏集合	Kawaii Pet Game Gallery
可爱小狗DS2	Kawaii Koinu DS 2
可爱小狗DS3	Kawaii Koinu DS 3
可爱小狗DS	Kawaii Koinu DS
可爱小狗	Lovely dog
可爱小狗养育计划	Koinu-Chan no Hajimete no Osanpo: Koino no Kokoro Ikusei Game
可爱小猫DS2	Kawaii Koneko DS2
可爱小猫DS	Kawaii Koneko DS
可爱邮差	Mail de Cute
可玛小猫DS	Koma Neko DS
可移动文物	Movable Historical Relics
可移动物体	Loose impediment
可竞争市场	Contestable market
可见一斑	Remarkable
可视门铃	Visual doorbell
可贷资金的供给曲线	Supply curve of loanable funds
可贷资金的需求曲线	Demand curve of loanable funds
可退可换	Refundable and Exchangeable
可锻铸铁	Malleable iron
台上等候	Waiting at the station
台南担仔面	Tainan Noodle Soup, Taiwan Style
台历挂历	Calendar calendar
台历模板	Calendar template
台式卤肉饭	Rice with Stewed Pork, Taiwan Style
台式机电脑	Desktop computer
台式电磁炒灶	Desktop electromagnetic fry stove
台式电脑	Desktop computer
台式电脑桌	Desktop computer desk
台式蛋黄肉	Steamed Pork with Salted Egg Yolk, Taiwan Style
台式钻床	Bench drill
台式音响	Desktop audio
台湾不是美国的领土	Taiwan is not territory of the United States
台湾人参乌龙	Taiwan Ginsen Oolong Tea
台湾冻顶乌龙	Taiwan Dongding Oolong Tea
台湾减速机	Taiwan speed reducer
台湾卤肉饭	Taiwan Rice with Stewed Pork
台湾当局对此也表示坚决反对	The Taiwan authorities also expressed firm opposition to the backroom deal between the United States and Japan
台湾手抓饼	Taiwan Shouzhua cake
台湾桂花乌龙	Taiwan Cassia Oolong Tea
台湾肉羹	Shredded Pork and Squid Soup, Taiwan Style
台湾金萱乌龙	Taiwan Jinxuan Oolong Tea
台湾阿里山乌龙	Taiwan Alishan Oolong Tea
台湾高铁	Railfan Taiwan High Speed Rail
台球会所	Billiards Club
台球全明星	Ball Allstars
台球天王	King of Pool
台球行动	Hardcore Pool
台资企业在大陆的发展不仅不会被边缘化而且会有更大的发展	I don't think they will be marginalized
台车式电阻炉	Bogie hearth resistance furnace
台达变频器	Delta inverter
台风警戒线	Typhoon detective line
台风预警信号分为四级橙色预警属于第二级	The orange alert is the second highest level alert in the four-level sea wave alert system
叱嗟风云	Ride the whirlwind
史不绝书	History is full of such instances
史前之岛	The Land Before Time
史努比DS与史努比和他的朋友们见面吧	SNOOPY DS:Let's Go Meet Snoopy and His Friends
史努比大战红男爵	Snoopy Vs The Red Baron
史努比的爱犬DS	Snoopy no Ai Ken DS
史宾格犬	Springer Spaniel
史密斯行动	Smith act
史无前例	There was no parallel in history
史莱克2	Shrek 2
史莱克2穿长靴的猫	Shrek 2: Beg for Mercy
史莱克3	Shrek the Third
史莱克4	SHREK 4
史莱克冲撞	Shrek Smash and Crash Racing
史莱克城堡找碴记	Shrek Hassle at the Castle
史莱克怪物与驴子	Shrek: Ogres and Dronkeys
史莱克恶臭大灾难	Shrek Reekin' Havoc
史莱克沼泽赛车	Shrek Swamp Kart Speedway
史莱姆先生	Mister Slime
史诺德2 假期	Snood 2 On Vacation
史酷比2脱缰的怪物	Scooby-Doo 2: Monsters Unleashed
史酷比2释放的怪兽	Scooby-Doo! Two: Monsters Unleashed
史酷比原形毕露	Scooby-Doo! Unmasked
史酷比幽灵沼泽	Scooby-Doo! and the Spooky Swamp
史酷比最初恐惧	Scooby-Doo! First Frights
史酷比神秘的罪证	Scooby-Doo: Mystery Mayhem
史酷比谁在看谁	Scooby Doo Who's Watching Who
史酷比鬼屋历险	Scooby-Doo and the Cyber Chase
右脑回转火柴棒谜题DS	Unou Kaiten - Match-Bou Puzzle DS
右脑育成IQ训练和宠物关系变好的IQ课程	Unou Ikusei - IQ Breeder - Pet to Nakayoku IQ Lesson
右脑达人加油训练	Point Blank DS
右脑达人爽解找茬博物馆2	Unou no Tatsujin: Soukai! Machigai Museum
右脑达人爽解找茬博物馆	Unou no Tatsujin: Soukai! Machigai Museum
右脑达人育儿猜谜	Unou no Tatsujin Hirameki Kosodate My Angel
叶公好龙	Lord ye who claimed to be fond of dragons was scared out of his wits when a real one appeared
叶卡捷琳娜·加莫娃	Ekaterina Gamova
叶夫根尼亚·斯塔塞娃	Evgeniya Startseva
叶片式压缩机	Vane compressor
叶用莴苣	Leaf lettuce
叶落归根	Want one's old bones to be buried in one's hometown
叶落知秋	One falling leaf is indicative of the coming of autumn
叶里藏花一度梦里踏雪几何一约即订万山无阻	Flower hide in the leaf. Walking on the snow in the dream. Always keep the promise
号令如山	Military orders are like a mountain
号咷大哭	Cry bitter tears
号啕大哭	Bawler
号寒啼饥	Cry from hunger and cold
司机同志请您按规定停放车辆	The driver comrade asks you to park the vehicle according to the regulations
司机后勤	Drivers Logistics Service
司母戊鼎	Simuwu  Tripod
司法救助	Judicial aid
司法机关	Judicial office
司法警察	The judicial police
司法部门	Judicial departments
司法鉴定科	Judicial Expertise Department
司空摘星	Catching star astronaut
司空见惯	It is quite common for
司马青衫	Very grieved
叹为观止	As the acme of perfection
叽里哇啦	Talk loudly
吃不了兜着走	Get more than one bargained for
吃午饭了吗	Have you have your lunch
吃午饭的时间到了	It's time to have lunch
吃后悔药	Regret
吃哑巴亏	Be cheated but unable to talk about it for one reason or another
吃喝玩乐	Idle away in seeking pleasure
吃多了会上火	If you eat too much, you will suffer from excessive internal heat
吃得苦中苦方为人上人	No gains without pains
吃我子弹马特哈扎德的回归	Eat Lead: The Return of Matt Hazard
吃晚饭了吗	Did you have supper
吃着不尽	Have as much food and clothing as one wants
吃穿用度	Everyday food and clothing
吃苦耐劳	Endure hardships and be capable of hard work
吃英语的神秘生物	Eigo o Taberu Fushigi na Ikimono Marsh
吃草的牛	Grazing cattle
吃角子老虎UP狂热11	Slotter Up Mania 10 Pioneer Special 11
吃豆人世界3	Pac Man World 3
吃豆人世界	Pac-Man World
吃豆人世界拉力	Pac Man World Rally
吃豆人全集	Pac-Man Collection
吃豆小姐	Ms. Pac-Man
吃豆小精灵大冒险	Ms. Pac-Man Maze Madness
吃里扒外	While helping others secretly
吃里爬外	Live off one person while secretly helping another -- work in the interest of an opposing group at the expense of one's own
吃饭了么	Have you eaten
吃饭了吗	Have you had dinner
吃饭了没	Have you eaten
吃饭了没有	Have you eaten
吃饭去咯	Go to eat
吃饭时间	Dinnertime
吃饭没	Did you eat
吃饭没有	Have you eaten
各不相让	Each refused to give in to the other
各不相谋	Each works his own way
各个击破	Crush one by one
各个方面	Various aspects
各为其主	Work for each master
各位乘客乘车时请您保管好自己随身携带的物品以防丢失	Please take care of your belongings when on board
各位代表 香港、澳门与祖国休戚相关、荣辱与共	Fellow Deputies, Hong Kong and Macao are closely bound with the mainland of China and we share a common destiny
各取所长	Each in his element
各取所需	Each takes what he needs
各司其事	Attend to each one's own duties
各司其职	Attend to each one's own duties
各向异性	Anisotropy
各国硬币	All States coins
各国货币	Currencies
各国还必须相互祝贺	States also have to congratulate each other
各地新闻	Local News
各大菜系	Major styles of cooking
各奔前程	Each pursues his onward journey
各就各位	On your marks
各尽所能	Let each person do his best
各式两面黄	Pan-Fried Noodles with Vegetable, Pork, Beef, Shrimp or Chicken
各式各样	Every kind of
各式炒年糕	Fried Rice Cake with Choices of Vegetable, Pork, Beef , Shrimp and Chicken
各得其宜	Every man is in his humor
各得其所	play their proper role
各执一词	Each sticks to his argument
各执己见	Each sticks to his own viewpoint
各抒己见	Each airs his own views
各抒所见	Each airs his own views
各持己见	Each sticks to his own view
各有千秋	Each has its own merits
各有所好	Everyone has his hobby
各有所短	Each man has his limitations
各有所长	Each one has his good points
各种各样	Various
各级人民政府对消费者协会履行职能应当予以支持	People's Governments at all levels shall support the consumer associations in the implementation of their duties and functions
各自为战	Fight the enemy separately
各自为政	Act of one's own free will
各自能力原则	The principle of respective capability
各色人等	All kinds of people
各色各样	Diversiform
各行其是	Act as one pleases
合两为一	Combined into one
合二为一	Combined into one
合二而一	Combined into one
合伙关系	Partnership
合作关系	Partnership
合作医疗	Cooperative medical service
合作媒体	Associated Media
合作生产	Joint production
合力叉车	Composite force forklift
合同医院	Assigned hospital
合同期限	Contract period
合唱比赛	Chorus competition
合唱的哥哥 已经不想你 与有钱干爸爸幸福于一起	Your singing company wouldn't miss you again, be happy with your sugar daddy
合情合理	Be perfectly logical and reasonable
合成材料	Synthetic material
合成树脂瓦	Synthetic resin tile
合成纤维吊装带	Synthetic fibre hoisting belt
合法换人	Legal Substitution
合法权利	Legitimate right
合浦珠还	The lost wealth is recovered
合浦还珠	Recover all that was lost
合理冲撞	Fair charge
合营企业	Joint venture
合资企业	Joint venture
合金圆钢	Alloy steel
合金射击者	Metal Gunslinger
合金弹头3D	Metal Slug 3D
合金弹头6	Metal Slug 6
合金弹头7	Metal Slug 7
合金弹头A	Metal Slug Advance
合金弹头XX	METAL SLUG XX
合金弹头Zero	METAL SLUG ZERO Online
合金弹头收藏版	Metal Slug Collection
合金弹头精选集	Metal Slug Anthology
合金战士特种部队	Chrome: Specforce
合金战纪	RMAN
合金猎犬	Chromehounds
合金玩具	Alloy toy
合金装备3食蛇者	Metal Gear Solid 3: Snake Eater
合金装备4爱国者之枪	Metal Gear Solid 4: Guns of the Patriots
合金装备	Metal Gear Acid
合金装备Online	METAL GEAR ONLINE
合金装备Touch	Metal Gear Solid Touch
合金装备反叛	Metal Gear Solid Rising
合金装备和平行者	Metal Gear Solid: Peace Walker
合金装备在线	Metal Gear Online
合金装备崛起	Metal Gear Solid: Rising
合金装备掌上行动2	Metal Gear Solid: Portable Ops
合金装备掌上行动	Metal Gear Solid Portable Ops
合金装备掌上行动＋	Metal Gear Solid Portable Ops Plus
合金装备数字漫画小说2	Metal Gear Solid: Digital Graphic Novel 2: Sons of Liberty
合金装备数字漫画小说	Metal Gear Solid: Digital Graphic Novel
合金装备 索利德	Metal Gear Solid
合金轮毂	Alloy wheel
合金钢板	Alloy steel plate
合金钢管	Alloy steel pipe
合金铣刀	Alloy milling cutter
合金项链	Alloy necklace
合金饰品	Alloy jewelry
吉人天相	All is well that ends well
吉他和弦	Guitar chords
吉他天堂4极限摇滚	Guitar way To Heaven 4 Amplifie
吉他小子	Gitaroo-Man Live
吉他弹唱M06	Hiite Utaeru DS Guitar M06
吉他曲谱	Guitar chords
吉他点击	Guitar Hits
吉他英雄3摇滚传奇	Guitar Hero III: Legends of Rock
吉他英雄5	Guitar Hero 5
吉他英雄6摇滚战士	Guitar Hero: Warriors of Rock
吉他英雄	Aero Guitar Ex
吉他英雄世界巡演	Guitar Hero World Tour
吉他英雄巡演	Guitar Hero: On Tour
吉他英雄年度巡演	Guitar Hero On Tour: Decades
吉他英雄摩登热曲	Guitar Hero: Modern Hits
吉他英雄流行精选	Guitar Hero: Smash Hits
吉他英雄空中铁匠乐队专辑	Guitar Hero: Aerosmith
吉他英雄返场摇滚80年代	Guitar Hero Encore: Rocks the 80s
吉他英雄金属乐队专辑	Guitar Hero: Metallica
吉他音箱	Guitar speaker
吉他高手与狂热鼓手杰作金	Guitar Freaks & DrumMania Msterpiece Gold
吉他高手和狂热鼓手精选银	Guitar Freaks & DrumMania: Masterpiece Silver
吉佳乐世家吉贡达	E Guigal, Gigondas
吉佳乐世家教皇新堡	E Guigal, Chateauneuf De Pape
吉佳乐世家火焰山丘	E Guigal, Cote Rotie
吉光凤羽	The inklings
吉光片羽	The inklings
吉凶未卜	Do not know whether it will turn out good or bad
吉凶祸福	Weal and woe
吉利美人豹	Geely bl
吉利美人豹汽车	Geely BL cars
吉利自由舰	Geely free ship
吉利豪情	Geely pride
吉堂社区	Gtown
吉奥瓦尼·佩列洛	Giovanni Pellielo
吉娃娃犬	Chihuahua
吉富尼罗罗非鱼	Jifu Tilapia nilotica
吉富罗非鱼	Tilapia
吉尔吉斯斯坦首都	Capital of Kirghizstan
吉布提首都	Capital of Djibouti
吉日良时	Wedding day
吉日良辰	A lucky time and day -- wedding day
吉星高照	Good luck and success in life
吉普赛人	Gypsy
吉林蕨菜	Jilin fern
吉林雾凇	Jilin rime
吉林雾松	Jilin fog pine
吉林风毛菊	Jilin Saussurea
吉田沙保里	Yoshida Saori
吉田海伟	Yoshida Kaii
吉祥图案	Auspicious patterns
吉祥如意	Good luck and happiness to you
吉祥止止	Good things keep coming
吉米中子VS吉米阴电子	Jimmy Neutron vs. Jimmy Negatron
吉米中子喷射熔化	Jimmy Neutron: Jet Fusion
吉隆绿绒蒿	Jilong Meconopsis
吉隆翠雀花	Jilong delphinium
吉隆老鹳草	Jilong Geranium
吉隆铁线莲	Jilong Clematis
吉隆风毛菊	Jilong Saussurea
吉隆马先蒿	Jilong Pedicularis
吊古伤今	Mourn the ancient and grieve the modern
吊古寻幽	Dwell on the past and make the historic scenes live again
吊坠项链	Pendant Necklace
吊坠首饰	Pendant jewelry
吊尔郎当	Dandiacal
吊带上衣	Tank tops
吊带睡衣	Harness pajamas
吊带背心	Camisole
吊死问疾	Show great concern for the poor and ill
吊民伐罪	Console the people and punish the wicked
吊烧乳鸽王	Roast Pigeon
吊篮膏药	Hanging basket plaster
吊装公司	Hoisting company
吊装运输	Hoisting transportation
吊顶图片	Ceiling picture
吊顶造型	Ceiling molding
吊顶隔墙	Ceiling wall
同仇敌忾	Have the same enemy and hatred
同仇敌慨	Filled with a common hatred
同位素室	Isotope Laboratory
同位素检测室	Isotope Detection Laboratory
同出一辙	Be of an identical nature
同化作用	Assimilation
同化政策	The policy of national assimilation
同声共气	Congenial
同声同气	Congenial
同声相应	Like attracts like
同声相求	Like attracts like
同声翻译	Simultaneous interpretation
同外生变量	Exogenous variables
同学聚会	Classmate party
同室操戈	Fratricidal strife
同尘合污	Associate oneself with undesirable elements
同工同酬	Equal pay for equal work
同工异曲	Different tunes rendered with equal skill
同年10月9日内务卿山县有朋致函外务卿井上馨征求意见	The Minister of Internal Affairs Yamagata Aritomo solicited opinion from the Foreign Minister Inoue Kaoru on October 9
同年11月底日本军队占领中国旅顺口清朝败局已定	Towards the end of November 1894, Japanese forces seized the Chinese port of Lushun (then known as Port Arthur), virtually securing defeat of the Qing court
同年而语	Put on a par with
同床共枕	Share the same bed and the same pillow
同床各梦	Hide different purposes behind the semblance of accord
同归于尽	Perish together
同归殊途	All return to the same place though travelling in different roads
同德一心	With one heart and one virtue
同德同心	Be of one heart and one mind
同心一力	Unite in a concerted effort
同心一德	All of one mind
同心一意	All of one mind
同心共济	To pull together in times of trouble
同心协力	Unite in a concerted effort
同心合力	Make concerted efforts
同心合德	Koinonia
同心合意	Koinonia
同心合胆	Koinonia
同心同德	Be of one heart and one mind
同心并力	Unite all efforts for a common purpose
同心戮力	Make concerted efforts
同心敌忾	Have the same enemy and hatred
同心毕力	Unite in a concerted effort
同恶相助	Collusion between evildoers
同恶相恤	Collusion between evildoers
同恶相求	Collusion between evildoers
同恶相济	Conspire with someone in illegal acts
同情罢工	Sympathy strike
同日而言	Be mentioned in the same breath with
同日而论	Be mentioned in the same breath
同日而语	Be mentioned in the same breath
同日而道	Be mentioned in the same breath
同时保险	Concurrent insurance
同时又要树立信心信心就像太阳一样充满光明和希望	At the same time, we should have firm confidence. Confidence is like the sun. It brings us brightness and hope
同时发生	Simultaneous
同时司机需交付200元（30美金）到2000元不等的罚金	Meanwhile, drivers will have to pay a fine ranging from 200 Yuan (30 U.S. dollars) to 2,000 Yuan
同条共贯	Grow on the same branch and be tied on the same string of cash
同桌白了我一眼	My deskmate rolled his eyes at me
同步加速器	Synchrotron
同步发电机	Synchronous generator
同步播放	Simulcast
同步电机	Synchronous motor
同步齿轮	Synchromesh gear
同气相求	Like draws to like
同气连枝	Of the same breath and branches
同流合污	Associate oneself with undesirable elements
同班同学	Classmate
同甘共苦	Share sb.'s joys and sorrows
同生共死	Live and die together
同病相怜	Similarly afflicted people pity each other
同盟罢工	Joint strike
同类相从	Birds of a feather flock together
同类相求	Like draws to like
同行勿入	Competitors not welcome
同袍同泽	Comrades in the same army
同轴电缆	Coaxial cable
同轴线缆	Coaxial cable
同门异户	Holding the same views with minor differences
名下无虚	One's reputation is justified
名不副实	Be unworthy of the name or the title
名不符实	The name falls short of the reality
名不虚得	Have a well-deserved reputation
名不虚立	Have a well-deserved reputation
名人体育	Celebrity Sports Showdown
名人故居	Former residence of celebrities
名人雕塑	Celebrity sculpture
名从主人	Name after the originating person or place
名侦探柯南	Detective Conan
名侦探柯南侦探能力锻炼	Meitantei Conan: Tantei Ryoku Trainer
名侦探柯南消失的博士与找茬塔	Detective Conan - Kieta Hakase to Machigai Sagashi no To
名侦探柯南被狙击的侦探	Detective Conan
名侦探柯南追忆之幻想	Detective Conan: Tsuioku no Gensou
名侦探柯南·金田一少年事件薄交错的两位名侦探	Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au 2-Jin no Meitantei
名侦探浅见光彦系列副都心连续杀人事件	Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series
名公巨人	Influential officials
名公巨卿	Influential officials
名列前茅	Come out in front
名副其实	Be worthy of the name
名品家俱	Designer Furniture
名噪一时	Enjoy quite a reputation
名垂万古	Go down in history
名垂千古	Go down in history
名垂史册	Make history
名垂后世	Leave a name behind one
名垂竹帛	Leave a name in history
名垂青史	Stamp one's name on the page of history
名士风流	Unconventional ways of scholars
名存实亡	Cease to exist except in name
名实相副	Be worthy of the name
名实相符	Live up to your name
名将三国	Warriors of Fate
名山事业	An author's works destined for posterity
名山大川	Well-known mountains and rivers
名山胜川	Well-known mountains and rivers
名山胜水	Famous scenic mountains and rivers
名扬四海	Well-known in the world
名标青史	Immortal
名正理顺	Be right and proper
名正言顺	Be right and proper
名满天下	Gained a world reputation
名目繁多	A multitude of names
名符其实	Live up to one's name
名缰利锁	The bondage of reputation and wealth
名胜古迹	Places of historic interest and scenic beauty
名落孙山	Fail in official nowhere
名著翻拍	Classic remake
名誉如河流发源处最狭愈远愈宽广	Fame like a river is narrowest at its source and broadest afar off
名词短语	Noun phrase
名贸实易	Be the same in appearance but different essentially
名过其实	Have an exaggerated reputation
名重一时	Be a celebrity for a time
名门世族	Gentlefolk
名闻遐迩	With fame spreading far and wide
名震一时	Gained some fame for a time
名高天下	Well-known throughout the country
后会无期	Never ever meet again
后会有期	See you around
后劲十足	With strong staying power
后发制人	Gain mastery by striking only after the enemy has struck
后台服务	Back-up services
后台示意图	Backstage Map
后台管理	Back-stage management
后台老板	Backstage boss
后备箱垫	Trunk mat
后悔不及	Too late for regrets
后悔无及	Cry over spilt milk
后悔无益	It is no use crying over spilt milk
后悔莫及	Too late to regret
后患无穷	No end of trouble for the future
后手不接	Can 't maintain
后来之秀	The bright younger generation
后来居上	Catch up from behind
